frame_number,timestamp
2190,0:02:25
2193,0:02:26
2196,0:02:26
2199,0:02:26
2202,0:02:26
2205,0:02:26
2208,0:02:27
2211,0:02:27
2214,0:02:27
2217,0:02:27
2220,0:02:27
2223,0:02:28
2226,0:02:28
2229,0:02:28
2232,0:02:28
2235,0:02:28
2238,0:02:29
2241,0:02:29
2244,0:02:29
2247,0:02:29
2250,0:02:29
2253,0:02:30
2256,0:02:30
2259,0:02:30
2262,0:02:30
2419,0:02:41
2422,0:02:41
2425,0:02:41
2428,0:02:41
2431,0:02:42
2434,0:02:42
2437,0:02:42
2440,0:02:42
2443,0:02:42
2446,0:02:43
2449,0:02:43
2452,0:02:43
2455,0:02:43
2458,0:02:43
2461,0:02:44
2464,0:02:44
2467,0:02:44
2470,0:02:44
2473,0:02:44
2476,0:02:45
2479,0:02:45
2482,0:02:45
2485,0:02:45
2488,0:02:45
2491,0:02:46
2494,0:02:46
2497,0:02:46
2500,0:02:46
2503,0:02:46
2506,0:02:47
2509,0:02:47
2512,0:02:47
2515,0:02:47
2518,0:02:47
2521,0:02:48
2524,0:02:48
2527,0:02:48
2530,0:02:48
2533,0:02:48
2536,0:02:49
2539,0:02:49
2542,0:02:49
2545,0:02:49
2548,0:02:49
2551,0:02:50
2554,0:02:50
2557,0:02:50
2560,0:02:50
2563,0:02:50
2566,0:02:51
2569,0:02:51
2572,0:02:51
2575,0:02:51
2578,0:02:51
2581,0:02:52
2584,0:02:52
2587,0:02:52
2590,0:02:52
2593,0:02:52
2597,0:02:53
2611,0:02:54
2614,0:02:54
2617,0:02:54
2620,0:02:54
2623,0:02:54
2626,0:02:55
2629,0:02:55
2632,0:02:55
2635,0:02:55
2638,0:02:55
2641,0:02:56
2644,0:02:56
2647,0:02:56
2650,0:02:56
2653,0:02:56
2656,0:02:57
2659,0:02:57
2662,0:02:57
2665,0:02:57
2668,0:02:57
2671,0:02:58
2674,0:02:58
2677,0:02:58
2858,0:03:10
2861,0:03:10
2864,0:03:10
2867,0:03:11
2870,0:03:11
2873,0:03:11
2876,0:03:11
2879,0:03:11
2882,0:03:12
2885,0:03:12
2888,0:03:12
2891,0:03:12
2894,0:03:12
2897,0:03:13
2900,0:03:13
2903,0:03:13
2906,0:03:13
2909,0:03:13
2913,0:03:14
2916,0:03:14
2919,0:03:14
2922,0:03:14
2925,0:03:14
2928,0:03:15
2931,0:03:15
2934,0:03:15
2937,0:03:15
2940,0:03:15
2943,0:03:16
2946,0:03:16
2949,0:03:16
